poaceae_pollen_concentration_grains_metre_cubed, other_pollen_concentration_grains_metre_cubed, start_date,location
75.56818182,239.0782828,2016-10-07T00:00:00.000+0000,BRISBANE
56.12373737,98.5479798,2016-10-14T00:00:00.000+0000,BRISBANE
47.28535354,162.6262626,2016-10-21T00:00:00.000+0000,BRISBANE
95.89646465,254.1035354,2016-10-28T00:00:00.000+0000,BRISBANE
121.0858586,495.3914141,2016-11-04T00:00:00.000+0000,BRISBANE
104.7348485,326.5782828,2016-11-11T00:00:00.000+0000,BRISBANE
151.5782828,145.8333333,2016-11-18T00:00:00.000+0000,BRISBANE
135.6691919,144.9494949,2016-11-25T00:00:00.000+0000,BRISBANE
97.22222222,140.530303,2016-12-02T00:00:00.000+0000,BRISBANE
120.4229798,47.67203283,2016-12-09T00:00:00.000+0000,BRISBANE
687.1843434,215.6565657,2016-12-16T00:00:00.000+0000,BRISBANE
223.1691919,102.9671717,2016-12-23T00:00:00.000+0000,BRISBANE
281.0606061,136.9949495,2016-12-30T00:00:00.000+0000,BRISBANE
98.98989899,216.9823232,2017-01-06T00:00:00.000+0000,BRISBANE
1253.282828,173.2323232,2017-01-13T00:00:00.000+0000,BRISBANE
693.8131313,133.9015152,2017-01-20T00:00:00.000+0000,BRISBANE
445.4545455,127.7146465,2017-01-27T00:00:00.000+0000,BRISBANE
319.0656566,135.6691919,2017-02-03T00:00:00.000+0000,BRISBANE
91.03535354,121.0858586,2017-02-10T00:00:00.000+0000,BRISBANE
74.68434343,149.8106061,2017-02-17T00:00:00.000+0000,BRISBANE
393.3080808,62.75252525,2017-02-24T00:00:00.000+0000,BRISBANE
286.8055556,132.5757576,2017-03-03T00:00:00.000+0000,BRISBANE
118.6287879,144.8964646,2017-03-10T00:00:00.000+0000,BRISBANE
64.52020202,317.739899,2017-03-17T00:00:00.000+0000,BRISBANE
632.3863636,308.0176768,2017-03-24T00:00:00.000+0000,BRISBANE
1010.669192,95.45454545,2017-04-07T00:00:00.000+0000,BRISBANE
1348.295455,125.9469697,2017-04-14T00:00:00.000+0000,BRISBANE
898.8636364,53.91414141,2017-04-21T00:00:00.000+0000,BRISBANE
505.9974747,79.10353535,2017-04-28T00:00:00.000+0000,BRISBANE
634.5959596,88.38383838,2017-05-05T00:00:00.000+0000,BRISBANE
121.969697,98.98989899,2017-05-12T00:00:00.000+0000,BRISBANE
4.861111111,43.30808081,2017-08-19T00:00:00.000+0000,BRISBANE
7.954545455,69.38131313,2017-08-26T00:00:00.000+0000,BRISBANE
15.02525253,671.2752525,2017-09-02T00:00:00.000+0000,BRISBANE
8.838383838,281.9444444,2017-09-09T00:00:00.000+0000,BRISBANE
1.767676768,101.1994949,2017-09-16T00:00:00.000+0000,BRISBANE
9.324494949,165.4545455,2017-09-23T00:00:00.000+0000,BRISBANE
1.944444444,103.0555556,2017-09-30T00:00:00.000+0000,BRISBANE
4.861111111,165.7638889,2017-10-07T00:00:00.000+0000,BRISBANE
15.06944444,125.9027778,2017-10-14T00:00:00.000+0000,BRISBANE
22.84722222,180.3472222,2017-10-21T00:00:00.000+0000,BRISBANE
35.48611111,334.4444444,2017-10-28T00:00:00.000+0000,BRISBANE
69.02777778,213.4027778,2017-11-04T00:00:00.000+0000,BRISBANE
108.4027778,137.0833333,2017-11-11T00:00:00.000+0000,BRISBANE
135.1388889,144.8611111,2017-11-18T00:00:00.000+0000,BRISBANE
127.8472222,142.4305556,2017-11-25T00:00:00.000+0000,BRISBANE
455,211.4583333,2017-12-02T00:00:00.000+0000,BRISBANE
922.6388889,160.9027778,2017-12-09T00:00:00.000+0000,BRISBANE
423.4027778,157.9861111,2017-12-16T00:00:00.000+0000,BRISBANE
396.1805556,118.125,2017-12-23T00:00:00.000+0000,BRISBANE
611.0416667,128.8194444,2017-12-30T00:00:00.000+0000,BRISBANE
735.4861111,120.5555556,2018-01-06T00:00:00.000+0000,BRISBANE
240.1388889,64.16666667,2018-01-13T00:00:00.000+0000,BRISBANE
332.9861111,35.97222222,2018-01-20T00:00:00.000+0000,BRISBANE
341.7361111,39.375,2018-01-27T00:00:00.000+0000,BRISBANE
296.0416667,40.34722222,2018-02-03T00:00:00.000+0000,BRISBANE
433.6111111,50.55555556,2018-02-10T00:00:00.000+0000,BRISBANE
736.4583333,58.81944444,2018-02-17T00:00:00.000+0000,BRISBANE
