poaceae_pollen_concentration_grains_metre_cubed, other_pollen_concentration_grains_metre_cubed, start_date,location
13,427,2016-09-23T00:00:00.000+0000,VIEWBANK
58,1019,2016-09-30T00:00:00.000+0000,VIEWBANK
151,822,2016-10-07T00:00:00.000+0000,VIEWBANK
458,719,2016-10-14T00:00:00.000+0000,VIEWBANK
344,384,2016-10-21T00:00:00.000+0000,VIEWBANK
390,483,2016-10-28T00:00:00.000+0000,VIEWBANK
887,457,2016-11-04T00:00:00.000+0000,VIEWBANK
673,730,2016-11-11T00:00:00.000+0000,VIEWBANK
441,421,2016-11-18T00:00:00.000+0000,VIEWBANK
254,125,2016-11-25T00:00:00.000+0000,VIEWBANK
664,338,2016-12-02T00:00:00.000+0000,VIEWBANK
507,288,2016-12-09T00:00:00.000+0000,VIEWBANK
523,259,2016-12-16T00:00:00.000+0000,VIEWBANK
893,367,2016-12-23T00:00:00.000+0000,VIEWBANK
209,181,2016-12-30T00:00:00.000+0000,VIEWBANK
133,315,2017-01-06T00:00:00.000+0000,VIEWBANK
52,156,2017-01-13T00:00:00.000+0000,VIEWBANK
38,167,2017-01-20T00:00:00.000+0000,VIEWBANK
19,104,2017-01-27T00:00:00.000+0000,VIEWBANK
3,1763,2017-09-23T00:00:00.000+0000,VIEWBANK
38,1720,2017-09-30T00:00:00.000+0000,VIEWBANK
56,906,2017-10-07T00:00:00.000+0000,VIEWBANK
174,866,2017-10-14T00:00:00.000+0000,VIEWBANK
140,453,2017-10-21T00:00:00.000+0000,VIEWBANK
210,519,2017-10-28T00:00:00.000+0000,VIEWBANK
267,350,2017-11-04T00:00:00.000+0000,VIEWBANK
577,1070,2017-11-11T00:00:00.000+0000,VIEWBANK
636,680,2017-11-18T00:00:00.000+0000,VIEWBANK
222,304,2017-11-25T00:00:00.000+0000,VIEWBANK
89,112,2017-12-02T00:00:00.000+0000,VIEWBANK
206,326,2017-12-09T00:00:00.000+0000,VIEWBANK
158,306,2017-12-16T00:00:00.000+0000,VIEWBANK
96,335,2017-12-23T00:00:00.000+0000,VIEWBANK
3,27,2017-12-30T00:00:00.000+0000,VIEWBANK
10,813,2018-09-23T00:00:00.000+0000,VIEWBANK
59,1706,2018-09-30T00:00:00.000+0000,VIEWBANK
141,1421,2018-10-07T00:00:00.000+0000,VIEWBANK
133,841,2018-10-14T00:00:00.000+0000,VIEWBANK
102,464,2018-10-21T00:00:00.000+0000,VIEWBANK
384,816,2018-10-28T00:00:00.000+0000,VIEWBANK
224,300,2018-11-04T00:00:00.000+0000,VIEWBANK
281,379,2018-11-11T00:00:00.000+0000,VIEWBANK
204,366,2018-11-18T00:00:00.000+0000,VIEWBANK
231,256,2018-11-25T00:00:00.000+0000,VIEWBANK
236,395,2018-12-02T00:00:00.000+0000,VIEWBANK
192,227,2018-12-09T00:00:00.000+0000,VIEWBANK
121,84,2018-12-16T00:00:00.000+0000,VIEWBANK
138,317,2018-12-23T00:00:00.000+0000,VIEWBANK
2,14,2018-12-30T00:00:00.000+0000,VIEWBANK
0,5522,2019-08-26T00:00:00.000+0000,VIEWBANK
16,1976,2019-09-02T00:00:00.000+0000,VIEWBANK
17,4423,2019-09-09T00:00:00.000+0000,VIEWBANK
29,5284,2019-09-16T00:00:00.000+0000,VIEWBANK
36,1859,2019-09-23T00:00:00.000+0000,VIEWBANK
121,1754,2019-09-30T00:00:00.000+0000,VIEWBANK
59,620,2019-10-07T00:00:00.000+0000,VIEWBANK
47,458,2019-10-14T00:00:00.000+0000,VIEWBANK
226,646,2019-10-21T00:00:00.000+0000,VIEWBANK
383,726,2019-10-28T00:00:00.000+0000,VIEWBANK
399,218,2019-11-04T00:00:00.000+0000,VIEWBANK
398,224,2019-11-11T00:00:00.000+0000,VIEWBANK
756,726,2019-11-18T00:00:00.000+0000,VIEWBANK
380,213,2019-11-25T00:00:00.000+0000,VIEWBANK
246,44,2019-12-02T00:00:00.000+0000,VIEWBANK
285,182,2019-12-09T00:00:00.000+0000,VIEWBANK
285,332,2019-12-16T00:00:00.000+0000,VIEWBANK
427,193,2019-12-23T00:00:00.000+0000,VIEWBANK
37,115,2019-12-30T00:00:00.000+0000,VIEWBANK
