poaceae_pollen_concentration_grains_metre_cubed, other_pollen_concentration_grains_metre_cubed, start_date,location
13,220,2016-08-26T00:00:00.000+0000,canberra
41,494,2016-09-02T00:00:00.000+0000,canberra
40,1134,2016-09-09T00:00:00.000+0000,canberra
12,795,2016-09-16T00:00:00.000+0000,canberra
8,920,2016-09-23T00:00:00.000+0000,canberra
61,295,2016-09-30T00:00:00.000+0000,canberra
31,632,2016-10-07T00:00:00.000+0000,canberra
88,365,2016-10-14T00:00:00.000+0000,canberra
103,174,2016-10-21T00:00:00.000+0000,canberra
134,173,2016-10-28T00:00:00.000+0000,canberra
165,140,2016-11-04T00:00:00.000+0000,canberra
138,158,2016-11-11T00:00:00.000+0000,canberra
146,99,2016-11-18T00:00:00.000+0000,canberra
177,77,2016-11-25T00:00:00.000+0000,canberra
113,32,2016-12-02T00:00:00.000+0000,canberra
146,35,2016-12-09T00:00:00.000+0000,canberra
81,18,2016-12-16T00:00:00.000+0000,canberra
1,8,2016-12-23T00:00:00.000+0000,canberra
10,28,2016-12-30T00:00:00.000+0000,canberra
14,17,2017-01-06T00:00:00.000+0000,canberra
4,9,2017-01-13T00:00:00.000+0000,canberra
14,27,2017-01-20T00:00:00.000+0000,canberra
2,7,2017-01-27T00:00:00.000+0000,canberra
3,6,2017-02-03T00:00:00.000+0000,canberra
5,12,2017-02-10T00:00:00.000+0000,canberra
1,12,2017-02-17T00:00:00.000+0000,canberra
0,52,2017-02-24T00:00:00.000+0000,canberra
6,158,2017-09-23T00:00:00.000+0000,canberra
14,596,2017-09-30T00:00:00.000+0000,canberra
19,305,2017-10-07T00:00:00.000+0000,canberra
26,153,2017-10-14T00:00:00.000+0000,canberra
36,53,2017-10-21T00:00:00.000+0000,canberra
86,79,2017-10-28T00:00:00.000+0000,canberra
30,28,2017-11-04T00:00:00.000+0000,canberra
42,45,2017-11-11T00:00:00.000+0000,canberra
59,57,2017-11-18T00:00:00.000+0000,canberra
41,85,2017-11-25T00:00:00.000+0000,canberra
27,76,2017-12-02T00:00:00.000+0000,canberra
63,80,2017-12-09T00:00:00.000+0000,canberra
22,64,2017-12-16T00:00:00.000+0000,canberra
4,17,2017-12-23T00:00:00.000+0000,canberra
94,169,2017-12-30T00:00:00.000+0000,canberra
59,70,2018-01-06T00:00:00.000+0000,canberra
18,52,2018-01-13T00:00:00.000+0000,canberra
11,28,2018-01-20T00:00:00.000+0000,canberra
7,32,2018-01-27T00:00:00.000+0000,canberra
13,124,2018-02-03T00:00:00.000+0000,canberra
3,563,2018-02-10T00:00:00.000+0000,canberra
2,206,2018-02-17T00:00:00.000+0000,canberra
5,85,2018-02-24T00:00:00.000+0000,canberra
0,504,2018-03-03T00:00:00.000+0000,canberra
7,405,2018-03-10T00:00:00.000+0000,canberra
35,174,2018-03-17T00:00:00.000+0000,canberra
8,46,2018-03-24T00:00:00.000+0000,canberra
3,66,2018-03-31T00:00:00.000+0000,canberra
0,15,2018-04-07T00:00:00.000+0000,canberra
2,14,2018-04-14T00:00:00.000+0000,canberra
2,45,2018-04-21T00:00:00.000+0000,canberra
1,7,2018-04-28T00:00:00.000+0000,canberra
2,7,2018-05-05T00:00:00.000+0000,canberra
0,0,2018-05-12T00:00:00.000+0000,canberra
0,28,2018-05-19T00:00:00.000+0000,canberra
0,32,2018-05-26T00:00:00.000+0000,canberra
3,26,2018-06-02T00:00:00.000+0000,canberra
0,25,2018-06-09T00:00:00.000+0000,canberra
0,25,2018-06-16T00:00:00.000+0000,canberra
0,21,2018-06-23T00:00:00.000+0000,canberra
0,13,2018-07-01T00:00:00.000+0000,canberra
0,9,2018-07-08T00:00:00.000+0000,canberra
0,22,2018-07-15T00:00:00.000+0000,canberra
0,50,2018-07-22T00:00:00.000+0000,canberra
