location,date,crash_count
bushy_park_(bushy_park_estates),2010-01,12
bushy_park_(bushy_park_estates),2010-02,6
bushy_park_(bushy_park_estates),2010-03,11
bushy_park_(bushy_park_estates),2010-04,12
bushy_park_(bushy_park_estates),2010-05,7
bushy_park_(bushy_park_estates),2010-06,10
bushy_park_(bushy_park_estates),2010-07,13
bushy_park_(bushy_park_estates),2010-08,9
bushy_park_(bushy_park_estates),2010-09,4
bushy_park_(bushy_park_estates),2010-10,8
bushy_park_(bushy_park_estates),2010-11,12
bushy_park_(bushy_park_estates),2010-12,13
bushy_park_(bushy_park_estates),2011-01,8
bushy_park_(bushy_park_estates),2011-02,7
bushy_park_(bushy_park_estates),2011-03,3
bushy_park_(bushy_park_estates),2011-04,10
bushy_park_(bushy_park_estates),2011-05,3
bushy_park_(bushy_park_estates),2011-06,5
bushy_park_(bushy_park_estates),2011-07,12
bushy_park_(bushy_park_estates),2011-08,4
bushy_park_(bushy_park_estates),2011-09,6
bushy_park_(bushy_park_estates),2011-10,8
bushy_park_(bushy_park_estates),2011-11,7
bushy_park_(bushy_park_estates),2011-12,8
bushy_park_(bushy_park_estates),2012-01,9
bushy_park_(bushy_park_estates),2012-02,7
bushy_park_(bushy_park_estates),2012-03,9
bushy_park_(bushy_park_estates),2012-04,5
bushy_park_(bushy_park_estates),2012-05,2
bushy_park_(bushy_park_estates),2012-06,8
bushy_park_(bushy_park_estates),2012-07,8
bushy_park_(bushy_park_estates),2012-08,9
bushy_park_(bushy_park_estates),2012-09,8
bushy_park_(bushy_park_estates),2012-10,8
bushy_park_(bushy_park_estates),2012-11,10
bushy_park_(bushy_park_estates),2012-12,7
bushy_park_(bushy_park_estates),2013-01,5
bushy_park_(bushy_park_estates),2013-02,7
bushy_park_(bushy_park_estates),2013-03,13
bushy_park_(bushy_park_estates),2013-04,8
bushy_park_(bushy_park_estates),2013-05,7
bushy_park_(bushy_park_estates),2013-06,14
bushy_park_(bushy_park_estates),2013-07,8
bushy_park_(bushy_park_estates),2013-08,12
bushy_park_(bushy_park_estates),2013-09,7
bushy_park_(bushy_park_estates),2013-10,10
bushy_park_(bushy_park_estates),2013-11,6
bushy_park_(bushy_park_estates),2013-12,12
