 location_description,date_month,count
Brighton,2010-01,13
Brighton,2010-02,7
Brighton,2010-03,18
Brighton,2010-04,9
Brighton,2010-05,7
Brighton,2010-06,14
Brighton,2010-07,14
Brighton,2010-08,13
Brighton,2010-09,11
Brighton,2010-10,14
Brighton,2010-11,16
Brighton,2010-12,12
Brighton,2011-01,8
Brighton,2011-02,10
Brighton,2011-03,9
Brighton,2011-04,10
Brighton,2011-05,10
Brighton,2011-06,19
Brighton,2011-07,9
Brighton,2011-08,11
Brighton,2011-09,6
Brighton,2011-10,10
Brighton,2011-11,10
Brighton,2011-12,9
Brighton,2012-01,10
Brighton,2012-02,6
Brighton,2012-03,8
Brighton,2012-04,12
Brighton,2012-05,19
Brighton,2012-06,6
Brighton,2012-07,13
Brighton,2012-08,11
Brighton,2012-09,10
Brighton,2012-10,7
Brighton,2012-11,9
Brighton,2012-12,8
Brighton,2013-01,17
Brighton,2013-02,8
Brighton,2013-03,6
Brighton,2013-04,9
Brighton,2013-05,15
Brighton,2013-06,9
Brighton,2013-07,14
Brighton,2013-08,8
Brighton,2013-09,10
Brighton,2013-10,5
Brighton,2013-11,9
Brighton,2013-12,10
Brighton,2014-01,7
Brighton,2014-02,9
Brighton,2014-03,18
Brighton,2014-04,9
Brighton,2014-05,11
Brighton,2014-06,18
Brighton,2014-07,4
Brighton,2014-08,10
Brighton,2014-09,9
Brighton,2014-10,13
Brighton,2014-11,11
Brighton,2014-12,9
Brighton,2015-01,12
Brighton,2015-02,5
Brighton,2015-03,15
Brighton,2015-04,10
Brighton,2015-05,10
Brighton,2015-06,8
Brighton,2015-07,10
Brighton,2015-08,17
Brighton,2015-09,3
Brighton,2015-10,10
Brighton,2015-11,6
Brighton,2015-12,6
Brighton,2016-01,8
Brighton,2016-02,8
Brighton,2016-03,11
Brighton,2016-04,11
Brighton,2016-05,7
Brighton,2016-06,15
Brighton,2016-07,9
Brighton,2016-08,13
Brighton,2016-09,17
Brighton,2016-10,13
Brighton,2016-11,13
Brighton,2016-12,11
Brighton,2017-01,10
Brighton,2017-02,14
Brighton,2017-03,14
Brighton,2017-04,6
Brighton,2017-05,15
Brighton,2017-06,10
Brighton,2017-07,10
Brighton,2017-08,11
Brighton,2017-09,15
Brighton,2017-10,13
Brighton,2017-11,10
Brighton,2017-12,10
Brighton,2018-01,8
Brighton,2018-02,16
Brighton,2018-03,12
Brighton,2018-04,10
Brighton,2018-05,12
Brighton,2018-06,13
Brighton,2018-07,6
Brighton,2018-08,14
Brighton,2018-09,9
Brighton,2018-10,12
Brighton,2018-11,9
Brighton,2018-12,15
Brighton,2019-01,10
Brighton,2019-02,9
Brighton,2019-03,15
Brighton,2019-04,11
Brighton,2019-05,7
Brighton,2019-06,10
Brighton,2019-07,9
Brighton,2019-08,16
Brighton,2019-09,8
Brighton,2019-10,16
Brighton,2019-11,17
Brighton,2019-12,17
Brighton,2020-01,10
Brighton,2020-02,8
Brighton,2020-03,16
Brighton,2020-04,10
Brighton,2020-05,10
Brighton,2020-06,16
Brighton,2020-07,17
Brighton,2020-08,11
Brighton,2020-09,4
